"","date","type","language","licence","rightsHolder","ownerInstitutionCode","eventID","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventDate","eventTime","locationID","continent","country","countryCode","county","locality","decimalLatitude","decimalLongitude","dynamicProperties"
"84",2013-09-18,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20130918_sabaki","Water Bird Count",NA,"minutes","","2013-09-18","07:48/NA","sabaki","Africa","Kenya","KE","Kilifi","Sabaki River Mouth",-3.16658,40.14167,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""3094008"", IBA_sitecode: ""KE019"", }"
"85",2013-11-01,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20131101_sabaki","Water Bird Count",NA,"minutes","","2013-11-01","NA/NA","sabaki","Africa","Kenya","KE","Kilifi","Sabaki River Mouth",-3.16658,40.14167,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""3094008"", IBA_sitecode: ""KE019"", }"
"86",2013-12-14,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20131214_sabaki","Water Bird Count",NA,"minutes","","2013-12-14","NA/NA","sabaki","Africa","Kenya","KE","Kilifi","Sabaki River Mouth",-3.16658,40.14167,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""3094008"", IBA_sitecode: ""KE019"", }"
"87",2014-01-19,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20140119_sabaki","Water Bird Count",155.001600003242,"minutes","","2014-01-19","09:40/12:15","sabaki","Africa","Kenya","KE","Kilifi","Sabaki River Mouth",-3.16658,40.14167,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""3094008"", IBA_sitecode: ""KE019"", }"
"88",2014-01-23,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20140123_mida","Water Bird Count",74.9951999982198,"minutes","","2014-01-23","07:30/08:45","mida","Africa","Kenya","KE","Kilifi","Mida Creek",-3.330189,39.967088,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""NA"", IBA_sitecode: ""KE016"", }"
"89",2014-02-11,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20140211_mida","Water Bird Count",NA,"minutes","","2014-02-11","NA/NA","mida","Africa","Kenya","KE","Kilifi","Mida Creek",-3.330189,39.967088,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""NA"", IBA_sitecode: ""KE016"", }"
"90",2014-03-07,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20140307_mida","Water Bird Count",NA,"minutes","","2014-03-07","NA/NA","mida","Africa","Kenya","KE","Kilifi","Mida Creek",-3.330189,39.967088,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""NA"", IBA_sitecode: ""KE016"", }"
"91",2014-03-14,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20140314_sabaki","Water Bird Count",270,"minutes","","2014-03-14","07:00/11:30","sabaki","Africa","Kenya","KE","Kilifi","Sabaki River Mouth",-3.16658,40.14167,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""3094008"", IBA_sitecode: ""KE019"", }"
"92",2014-04-11,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20140411_sabaki","Water Bird Count",205,"minutes","","2014-04-11","08:20/11:45","sabaki","Africa","Kenya","KE","Kilifi","Sabaki River Mouth",-3.16658,40.14167,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""3094008"", IBA_sitecode: ""KE019"", }"
"93",2014-04-23,"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","20140423_mida","Water Bird Count",NA,"minutes","","2014-04-23","NA/NA","mida","Africa","Kenya","KE","Kilifi","Mida Creek",-3.330189,39.967088,"{coverage: """", water: """", tidal: """", weather: """", disturbed: """", participants: """", CWAC_sitecode: ""NA"", IBA_sitecode: ""KE016"", }"
